title,num_subscribers,course_type,level,subject,language,subtitles,price,type_ins,duration_interval
Introducción a la programación en C: Tipos de datos y estructuras,13480,Self-paced on your time,Introductory,Computer Science,Español,Español,49.0,University,10-20h
Visualización de Datos y Storytelling,5980,Self-paced on your time,Intermediate,Data Analysis & Statistics,Español,Español,49.0,Other,10-20h
Negociación exitosa: Estrategias y habilidades esenciales (en español),0,Self-paced on your time,Introductory,Business & Management,Español,Español,49.0,University,20-30h
"Feeding a Hungry Planet: Agriculture, Nutrition and Sustainability",10488,Self-paced on your time,Intermediate,Environmental Studies,English,"English, Русский",49.0,Other,20-30h
Macroeconomics - The Basics,0,Self-paced on your time,Introductory,Economics & Finance,English,English,79.0,University,80h+
Fundamentals of Financial Mathematics and Capital Budgeting,5410,Self-paced on your time,Introductory,Economics & Finance,English,English,99.0,Other,0-10h
Gestión participativa: motivación y liderazgo organizacional,23441,Self-paced on your time,Intermediate,Business & Management,Español,Español,79.0,University,20-30h
Herramientas de ciencia de datos: uso práctico,0,Self-paced on your time,Introductory,Data Analysis & Statistics,Español,Español,39.0,Other,30-40h
Bienestar para el desarrollo personal y profesional,0,Self-paced on your time,Intermediate,Health & Safety,Español,"English, Español",29.0,University,30-40h
Energía eléctrica: conceptos y principios básicos,9762,Self-paced on your time,Intermediate,Engineering,Español,Español,49.0,Other,30-40h
Market Segmentation Analysis,17055,Self-paced on your time,Intermediate,Business & Management,English,English,99.0,University,30-40h
Pensamento crítico: tomada de decisões fundamentadas,0,Self-paced on your time,Introductory,Business & Management,Português,Português,149.0,Other,20-30h
AP® English Literature & Composition – Part 2: Poems,5719,Self-paced on your time,Introductory,Humanities,English,English,49.0,University,30-40h
"Electrical, Optical & Magnetic Materials and Devices",16905,Self-paced on your time,Intermediate,Engineering,English,English,150.0,Institute,80h+
Advanced Cardiac Imaging: Cardiac Computed Tomography (CT),0,Self-paced on your time,Introductory,Medicine,English,"English, Français, 中文, 中文",99.0,University,10-20h
How to Design a Successful Business Model,33656,Self-paced on your time,Introductory,Business & Management,English,"Deutsch, English, Español, Français",99.0,University,20-30h
Ecodesign for Cities and Suburbs,28472,Self-paced on your time,Introductory,Environmental Studies,English,Sin dato,99.0,University,20-30h
Agile Software Development,37158,Self-paced on your time,Introductory,Computer Science,English,English,50.0,Other,10-20h
Diseño de sistemas de información gerencial para intranet con Microsoft Access,9144,Self-paced on your time,Intermediate,Computer Science,Español,Español,49.0,University,30-40h
Essentials of Program Strategy and Evaluation,0,Self-paced on your time,Introductory,Philanthropy,English,English,50.0,University,30-40h
Gestão de Projetos de Desenvolvimento,28337,Self-paced on your time,Introductory,Business & Management,Português,Português,49.0,Other,30-40h
Innovation: From Plan to Product,12918,Self-paced on your time,Intermediate,Business & Management,English,English,249.0,University,80h+
Introduction to Database Queries,0,Self-paced on your time,Introductory,Computer Science,English,English,166.0,University,30-40h
Climate Change: Carbon Capture and Storage,10551,Self-paced on your time,Introductory,Engineering,English,English,49.0,University,10-20h
Reservoir Geomechanics,5280,Self-paced on your time,Introductory,Energy & Earth Sciences,English,English,129.0,University,40-50h
Fundamentos de administración estratégica,0,Self-paced on your time,Intermediate,Business & Management,Español,Español,49.0,University,30-40h
IoT System Architecture: Design and Evaluation,5914,Self-paced on your time,Introductory,Computer Science,English,English,99.0,University,10-20h
Noongar Language and Culture,10858,Self-paced on your time,Introductory,Language,English,English,139.0,University,10-20h
Sorting Truth From Fiction: Civic Online Reasoning,0,Instructor-led on a course schedule,Introductory,Education & Teacher Training,English,English,49.0,Institute,10-20h
Sustainable Food Security: Food Access,18943,Self-paced on your time,Introductory,Social Sciences,English,English,49.0,University,40-50h
Bases Matemáticas: Integrales,23703,Self-paced on your time,Introductory,Math,Español,Español,50.0,University,20-30h
Epidemics II,8565,Self-paced on your time,Introductory,Medicine,English,"English, 中文, 中文",139.0,University,0-10h
