title,num_subscribers,course_type,level,subject,language,subtitles,price,type_ins,duration_interval
Leadership and Management for PM Practitioners in IT,21949,Self-paced on your time,Introductory,Business & Management,English,English,199.0,University,20-30h
Entrepreneurship 103: Show Me The Money,15184,Self-paced on your time,Introductory,Business & Management,English,English,300.0,Institute,30-40h
Historia de la ética,9383,Self-paced on your time,Introductory,Philosophy & Ethics,Español,Español,29.0,University,10-20h
Drainage in Agriculture: controlling water and salt levels in the soil,0,Self-paced on your time,Advanced,Environmental Studies,English,English,49.0,University,80h+
Radio para internet con Podcast: creación y conceptos básicos,6460,Self-paced on your time,Introductory,Communication,Español,Español,50.0,University,20-30h
Introducción a los circuitos eléctricos,11953,Self-paced on your time,Intermediate,Electronics,Español,Español,49.0,University,30-40h
AP® Physics 1: Challenging Concepts,12145,Self-paced on your time,Introductory,Physics,English,English,49.0,Other,20-30h
Introduction to Java Programming – Part 2,71203,Self-paced on your time,Introductory,Computer Science,English,English,99.0,University,20-30h
AP® Macroeconomics,29433,Self-paced on your time,Introductory,Economics & Finance,English,English,49.0,Other,50-60h
Climate Change Education,12056,Self-paced on your time,Introductory,Education & Teacher Training,English,"English, Español",25.0,Other,40-50h
"Introducción al griego clásico: verbos, oraciones y filosofía",0,Self-paced on your time,Introductory,Language,Español,Español,49.0,University,20-30h
Applied Deep Learning Capstone Project,8429,Self-paced on your time,Advanced,Data Analysis & Statistics,English,English,99.0,Other,10-20h
FinTech Ethics and Risks,10696,Self-paced on your time,Introductory,Economics & Finance,English,"English, English, 中文, 中文",199.0,University,10-20h
User Experience (UX) Design: Human Factors and Culture in Design | 设计的人因与文化,23828,Self-paced on your time,Advanced,Engineering,English,English,139.0,University,20-30h
The Conquest of Space: Space Exploration and Rocket Science,19926,Self-paced on your time,Introductory,Engineering,English,English,129.0,University,20-30h
Business Strategy and Operations in a Biobased Economy,0,Self-paced on your time,Advanced,Business & Management,English,English,149.0,University,70-80h
What Works in Education: Evidence-Based Education Policies,5540,Self-paced on your time,Introductory,Education & Teacher Training,English,English,25.0,Other,30-40h
Electric Cars: Business,14199,Self-paced on your time,Intermediate,Business & Management,English,English,50.0,University,10-20h
Thermodynamics of Materials,0,Self-paced on your time,Intermediate,Engineering,English,English,150.0,Institute,80h+
Mechanics: Momentum and Energy,14846,Self-paced on your time,Intermediate,Physics,English,English,49.0,Institute,80h+
Co-Creating Sustainable Cities,12415,Self-paced on your time,Advanced,Social Sciences,English,English,49.0,University,50-60h
Cómo educar teniendo en cuenta la muerte,0,Self-paced on your time,Introductory,Education & Teacher Training,Español,Español,49.0,University,10-20h
Introduction to Animal Ethics,6608,Self-paced on your time,Introductory,Philosophy & Ethics,English,English,49.0,University,10-20h
Teamwork & Collaboration,0,Self-paced on your time,Introductory,Communication,English,English,199.0,Institute,10-20h
Grant Writing and Crowdfunding for Public Libraries,12853,Self-paced on your time,Introductory,Humanities,English,English,49.0,University,10-20h
Leading Ambitious Teaching and Learning,24273,Self-paced on your time,Advanced,Education & Teacher Training,English,English,199.0,University,10-20h
Financing Innovative Ventures,0,Self-paced on your time,Introductory,Business & Management,English,English,149.0,University,10-20h
"A-level Mathematics for Year 13 - Course 2: General Motion, Moments and Equilibrium, The Normal Distribution, Vectors, Differentiation Methods, Integration Methods and Differential Equations",0,Self-paced on your time,Intermediate,Math,English,English,49.0,University,20-30h
Theories of Media and Technology,0,Instructor-led on a course schedule,Introductory,Art & Culture,English,English,249.0,University,80h+
Introducción a la Estructura de la Materia,11859,Self-paced on your time,Introductory,Chemistry,Español,Español,25.0,University,10-20h
"Batteries, Fuel Cells, and their Role in Modern Society",11865,Self-paced on your time,Introductory,Science,English,English,49.0,University,10-20h
Communication Skills for Dialoguing Across Difference,60943,Self-paced on your time,Introductory,Communication,English,English,25.0,Other,0-10h
Social Media: How Media Got Social,13616,Self-paced on your time,Introductory,Communication,English,English,139.0,University,10-20h
"Portfolio Management, Governance, & the PMO",17299,Self-paced on your time,Introductory,Business & Management,English,English,199.0,University,20-30h
edX101: Overview of Creating an edX Course,22327,Self-paced on your time,Introductory,Education & Teacher Training,English,English,99.0,Other,0-10h
"Soy docente, ¡qué miedo! Gestiona eficazmente tus emociones",0,Self-paced on your time,Introductory,Education & Teacher Training,Español,Español,49.0,University,10-20h
Data Analysis for Decision Making,8342,Instructor-led on a course schedule,Advanced,Business & Management,English,English,214.0,University,60-70h
UML Class Diagrams for Software Engineering,33710,Self-paced on your time,Introductory,Computer Science,English,English,49.0,University,10-20h
Driving Digital Innovation through Experimentation,16904,Instructor-led on a course schedule,Advanced,Computer Science,English,English,399.0,University,20-30h
Compilation Basics for Macroeconomic Statistics,6570,Self-paced on your time,Introductory,Data Analysis & Statistics,English,English,25.0,Other,10-20h
Seguridad Vial en América Latina y el Caribe: de la teoría a la acción,20189,Self-paced on your time,Introductory,Engineering,Español,Español,25.0,Other,20-30h
From Fossil Resources to Biomass: A Chemistry Perspective,5464,Self-paced on your time,Advanced,Energy & Earth Sciences,English,English,149.0,University,80h+
System Dynamics for Health Sciences,15157,Self-paced on your time,Intermediate,Medicine,English,English,139.0,University,20-30h
Internet de las cosas (IoT) y Big Data,0,Self-paced on your time,Intermediate,Data Analysis & Statistics,Español,Español,49.0,University,20-30h
Introducción a Ciencias de Datos y Estadística Básica para Negocios,0,Self-paced on your time,Advanced,Data Analysis & Statistics,Español,Español,49.99,Other,20-30h
Introduction to Psychological Research Methods,17087,Self-paced on your time,Introductory,Humanities,English,English,99.0,University,10-20h
Sustainable Packaging in a Circular Economy,6277,Self-paced on your time,Intermediate,Design,English,English,50.0,University,20-30h
Design in Healthcare: Using Patient Journey Mapping,17946,Self-paced on your time,Introductory,Design,English,English,129.0,University,20-30h
"El manejo de plagas, malezas y enfermedades en los Sistemas de Siembra Directa",0,Self-paced on your time,Intermediate,Biology & Life Sciences,Español,"English, Español",99.0,University,20-30h
"Electronic, Optical, and Magnetic Properties of Materials",9717,Instructor-led on a course schedule,Advanced,Engineering,English,English,150.0,Institute,80h+
La España del Quijote,13277,Self-paced on your time,Introductory,History,Español,Español,19.0,University,40-50h
Risk Management for Projects,22269,Self-paced on your time,Introductory,Business & Management,English,English,199.0,University,10-20h
Smithsonian’s Objects That Define America,9071,Self-paced on your time,Introductory,Humanities,English,English,50.0,Other,0-10h
Creating Modern China: The Republican Period to the Present,43045,Self-paced on your time,Introductory,History,English,"English, 中文",139.0,University,30-40h
Discover Political Science,6573,Instructor-led on a course schedule,Intermediate,Social Sciences,English,English,50.0,University,50-60h
Data Science: Inferential Thinking through Simulations,17505,Self-paced on your time,Introductory,Computer Science,English,English,199.0,University,20-30h
Programming for Data Science,41268,Self-paced on your time,Introductory,Computer Science,English,English,199.0,University,80h+
Public Sector Debt Statistics,0,Self-paced on your time,Intermediate,Economics & Finance,English,English,25.0,Other,40-50h
Sensor Fusion and Non-linear Filtering for Automotive Systems,9709,Instructor-led on a course schedule,Advanced,Engineering,English,English,299.0,University,80h+
Creación musical con Soundcool: Introducción,0,Self-paced on your time,Introductory,Music,Español,Español,30.0,University,20-30h
First Nights - Berlioz’s Symphonie Fantastique and Program Music in the 19th Century,8222,Self-paced on your time,Introductory,Humanities,English,English,49.0,University,10-20h
The Quantum Internet and Quantum Computers: How Will They Change the World?,15014,Self-paced on your time,Introductory,Science,English,English,50.0,University,10-20h
Research Methods: An Engineering Approach,20444,Self-paced on your time,Introductory,Engineering,English,English,169.0,University,20-30h
Idealismo filosófico y cosmovisiones: cómo hacer mundos con ideas,15349,Self-paced on your time,Introductory,Philosophy & Ethics,Español,Español,49.0,University,20-30h
Rise to Leadership: Become a CEO,16719,Self-paced on your time,Intermediate,Business & Management,English,English,199.0,University,20-30h
Building a Cybersecurity Toolkit,23275,Self-paced on your time,Introductory,Computer Science,English,English,199.0,University,20-30h
Marketing your Android apps,0,Self-paced on your time,Intermediate,Engineering,English,English,49.0,University,30-40h
Embedded Systems Essentials with Arm: Getting Started,0,Self-paced on your time,Intermediate,Computer Science,English,English,149.0,Other,20-30h
Life with Diabetes,12318,Self-paced on your time,Introductory,Medicine,English,English,139.0,University,10-20h
Human Reproduction,5517,Self-paced on your time,Intermediate,Biology & Life Sciences,English,English,169.0,University,10-20h
Enabling Technologies for Data Science and Analytics: The Internet of Things,71290,Self-paced on your time,Introductory,Computer Science,English,English,99.0,University,40-50h
Astrophysics: Exploring Exoplanets,48539,Self-paced on your time,Intermediate,Physics,English,English,50.0,University,20-30h
Unconventional Reservoir Geomechanics,0,Self-paced on your time,Introductory,Energy & Earth Sciences,English,English,129.0,University,70-80h
Strategic Account Management,0,Self-paced on your time,Introductory,Business & Management,English,English,149.0,University,30-40h
PyTorch Basics for Machine Learning,0,Self-paced on your time,Introductory,Data Analysis & Statistics,English,English,39.0,Other,20-30h
Diseño y Desarrollo de Recursos Multimedia para la Enseñanza Virtual,14266,Self-paced on your time,Intermediate,Humanities,Español,Español,49.0,University,10-20h
Introduction to Cloud Foundry and Cloud Native Software Architecture,24444,Self-paced on your time,Introductory,Computer Science,English,English,169.0,Other,40-50h
Gestión de compras eficientes para tu empresa,0,Self-paced on your time,Introductory,Engineering,Español,Español,25.0,Other,20-30h
Know HBV And HCV,0,Self-paced on your time,Introductory,Medicine,English,English,50.0,University,0-10h
The Supreme Court & American Politics,6216,Self-paced on your time,Introductory,Law,English,English,29.0,University,40-50h
Sales Enablement & Analytics,0,Self-paced on your time,Introductory,Business & Management,English,English,149.0,University,30-40h
Inversión Extranjera como Motor del Desarrollo para América Latina y el Caribe,16423,Self-paced on your time,Intermediate,Business & Management,Español,Español,25.0,Other,30-40h
Liderazgo en la empresa familiar,10969,Self-paced on your time,Intermediate,Business & Management,Español,Español,49.0,Other,40-50h
Comparative Political Systems,6934,Self-paced on your time,Introductory,Social Sciences,English,English,59.0,University,30-40h
Introducción al Derecho en la vida cotidiana,0,Self-paced on your time,Introductory,Law,Español,Español,49.0,University,20-30h
Cloud Computing for Enterprises,27241,Instructor-led on a course schedule,Intermediate,Computer Science,English,English,299.0,University,70-80h
Diversity and Social Justice in Social Work,11055,Self-paced on your time,Advanced,Social Sciences,English,English,199.0,University,70-80h
Public Library Marketing and Public Relations,7525,Self-paced on your time,Introductory,Humanities,English,English,49.0,University,10-20h
"Healthcare Finance, Economics and Risk",8006,Self-paced on your time,Intermediate,Economics & Finance,English,English,199.0,University,30-40h
Reacciones Químicas y Cálculos Estequiométricos,8907,Self-paced on your time,Introductory,Chemistry,Español,Español,49.0,University,20-30h
Seeking Women’s Rights: Colonial Period to the Civil War,5157,Self-paced on your time,Intermediate,History,English,English,50.0,University,20-30h
VideoX: Creating Video for the edX Platform,12159,Self-paced on your time,Introductory,Education & Teacher Training,English,English,99.0,Other,0-10h
Comisión de la Verdad Colombia,0,Self-paced on your time,Introductory,History,Español,Español,29.0,University,40-50h
MathTrackX: Probability,0,Self-paced on your time,Introductory,Math,English,English,79.0,University,10-20h
Health Informatics for better and safer healthcare,0,Self-paced on your time,Introductory,Health & Safety,English,English,49.0,Other,10-20h
Sign Language Science: Factors Contributing to Natural Change,0,Self-paced on your time,Introductory,Language,English,English,99.0,University,10-20h
Accounting System Structure and Information Management,0,Self-paced on your time,Introductory,Economics & Finance,English,English,50.0,Other,0-10h
Sustainable Development: The Post-Capitalist Order,7031,Self-paced on your time,Introductory,Economics & Finance,English,English,49.0,Other,20-30h
"Health Law, Policy, and Advocacy",6358,Self-paced on your time,Intermediate,Law,English,English,199.0,University,30-40h
Introduction to Haptics,0,Self-paced on your time,Introductory,Engineering,English,English,129.0,University,20-30h
Gestión de inventario y portafolio,0,Self-paced on your time,Introductory,Engineering,Español,Español,25.0,Other,20-30h
Understanding Nuclear Energy,16015,Self-paced on your time,Intermediate,Engineering,English,English,50.0,University,30-40h
Cómo Convertirse en un Líder Exitoso (Entrenamiento de Liderazgo Inclusivo),11431,Self-paced on your time,Introductory,Business & Management,Español,Español,50.0,Other,0-10h
Decision Making Under Uncertainty: Introduction to Structured Expert Judgment,0,Self-paced on your time,Introductory,Business & Management,English,English,50.0,University,30-40h
AP® Calculus BC,8542,Self-paced on your time,Introductory,Math,English,English,49.0,Other,30-40h
Advanced Linear Algebra: Foundations to Frontiers,0,Self-paced on your time,Advanced,Computer Science,English,English,49.0,University,80h+
Entrepreneurial Opportunities,27182,Self-paced on your time,Introductory,Business & Management,English,English,50.0,University,10-20h
Agua en América Latina: Abundancia en medio de la escasez mundial,38581,Self-paced on your time,Introductory,Environmental Studies,Español,Español,25.0,Other,30-40h
Understanding Political Concepts,7421,Self-paced on your time,Introductory,Social Sciences,English,English,59.0,University,30-40h
How to Code: Complex Data,34190,Self-paced on your time,Introductory,Computer Science,English,English,125.0,University,10-20h
Hypersonics – from Shock Waves to Scramjets,19043,Self-paced on your time,Advanced,Engineering,English,English,99.0,University,20-30h
Micro and Nanofabrication (MEMS),16094,Self-paced on your time,Advanced,Engineering,English,"English, Français",199.0,Other,20-30h
Scientific Methods and Research,7501,Self-paced on your time,Intermediate,Science,English,English,49.0,University,10-20h
Customer Centric Marketing for Entrepreneurs,14003,Self-paced on your time,Intermediate,Business & Management,English,English,149.0,University,20-30h
Dog Behavior: Problems and Solutions,16467,Self-paced on your time,Intermediate,Social Sciences,English,English,169.0,University,20-30h
The Business of Mining,20406,Self-paced on your time,Introductory,Business & Management,English,English,139.0,University,10-20h
"Social Work Practice in Community Organization, Management and Policy/Evaluation",9522,Self-paced on your time,Advanced,Social Sciences,English,English,199.0,University,70-80h
The Business of Aging in the Longevity Economy,0,Self-paced on your time,Introductory,Social Sciences,English,English,139.0,University,0-10h
Understanding the Australian Health Care System,8343,Self-paced on your time,Introductory,Medicine,English,English,59.0,University,10-20h
Age of Sustainable Development,10019,Self-paced on your time,Intermediate,Social Sciences,English,"English, Português, Русский",49.0,Other,70-80h
Internationalization: Creating Digital Content for the World,0,Self-paced on your time,Advanced,Computer Science,English,English,199.0,University,10-20h
Multi-Object Tracking for Automotive Systems,8581,Instructor-led on a course schedule,Advanced,Engineering,English,English,249.0,University,80h+
Economics and Policies in a Biobased Economy,0,Self-paced on your time,Advanced,Energy & Earth Sciences,English,English,149.0,University,60-70h
Strategic Leadership in Healthcare,6237,Self-paced on your time,Intermediate,Business & Management,English,English,199.0,University,30-40h
Terrorism and Counterterrorism: An Introduction,14128,Self-paced on your time,Introductory,Humanities,English,English,49.0,University,20-30h
Exploring Psychology's Core Concepts|走进心理学,5741,Self-paced on your time,Introductory,Social Sciences,English,English,139.0,University,20-30h
Creating Virtual Reality (VR) Apps,22349,Self-paced on your time,Intermediate,Computer Science,English,English,99.0,University,30-40h
Análisis Multivariable en SPSS,0,Self-paced on your time,Introductory,Data Analysis & Statistics,Español,Español,49.0,University,20-30h
Steps in Japanese for Beginners2 Part1,0,Self-paced on your time,Introductory,Language,English,English,99.0,University,20-30h
"Competencias para buscar, mantener y promocionar en un empleo",0,Self-paced on your time,Introductory,Social Sciences,Español,Español,49.0,University,10-20h
Dynamics and Control,27763,Self-paced on your time,Introductory,Engineering,English,English,50.0,University,20-30h
Finding Your Cybersecurity Career Path,19283,Self-paced on your time,Introductory,Computer Science,English,English,199.0,University,20-30h
Introducción a la caligrafía y paleografía en archivos hispanos medievales y modernos,12674,Self-paced on your time,Introductory,Humanities,Español,Español,29.0,University,20-30h
Mechanics: Rotational Dynamics,13183,Self-paced on your time,Intermediate,Physics,English,English,49.0,Institute,80h+
Applying Health Coaching in Patient Care,0,Self-paced on your time,Introductory,Medicine,English,English,199.0,University,20-30h
Databases: Modeling and Theory,0,Self-paced on your time,Introductory,Computer Science,English,English,50.0,University,10-20h
"Islamic Banking: Principles, Practice and Risk Management",0,Self-paced on your time,Introductory,Economics & Finance,English,English,49.0,Institute,10-20h
Liderazgo orientado al florecimiento humano,7911,Self-paced on your time,Introductory,Business & Management,Español,Español,149.0,Other,20-30h
Software Construction: Object-Oriented Design,23100,Self-paced on your time,Intermediate,Computer Science,English,English,125.0,University,50-60h
"Introduction to Hyperledger Sovereign Identity Blockchain Solutions: Indy, Aries & Ursa",0,Self-paced on your time,Introductory,Computer Science,English,English,199.0,Other,10-20h
Fondements de l’économie sociale et solidaire,0,Instructor-led on a course schedule,Intermediate,Social Sciences,Français,Français,50.0,University,30-40h
The Civil War and Reconstruction - 1861 - 1865: A New Birth of Freedom,17941,Self-paced on your time,Introductory,History,English,English,50.0,University,80h+
Innovation Strategies for Electric Mobility: The StreetScooter Case,0,Self-paced on your time,Intermediate,Business & Management,English,English,99.0,University,10-20h
Sustainable Energy,0,Instructor-led on a course schedule,Advanced,Energy & Earth Sciences,English,English,149.0,Institute,80h+
Designing and Leading Learning Systems,11895,Self-paced on your time,Advanced,Education & Teacher Training,English,English,199.0,University,20-30h
How the U.S. Government Works & How to Get Involved,5930,Self-paced on your time,Introductory,Social Sciences,English,English,49.0,University,20-30h
Inspiring and Motivating Arts and Culture Teams,10817,Self-paced on your time,Introductory,Business & Management,English,English,49.0,University,20-30h
Principles of Microeconomics: An Economist Way of Thinking,0,Self-paced on your time,Intermediate,Economics & Finance,English,English,149.0,University,0-10h
A System View of Communications: From Signals to Packets (Part 1),34261,Self-paced on your time,Introductory,Computer Science,English,English,60.0,University,30-40h
"Invasions, Rebellions, and the Fall of Imperial China",41537,Self-paced on your time,Introductory,History,English,"English, 中文",139.0,University,30-40h
AP® English Literature & Composition – Part 3: Plays,6443,Self-paced on your time,Introductory,Humanities,English,English,49.0,University,30-40h
Cómo implantar grupos de mejora de procesos,28100,Self-paced on your time,Introductory,Business & Management,Español,Español,150.0,University,20-30h
Proteins: Biology's Workforce,25893,Self-paced on your time,Intermediate,Biology & Life Sciences,English,English,169.0,University,20-30h
Introducción a los ritmos y relojes biológicos,6149,Self-paced on your time,Introductory,Science,Español,"English, Español",50.0,University,20-30h
Linear Algebra I: Linear Equations,0,Self-paced on your time,Intermediate,Math,English,English,199.0,Institute,10-20h
"Fundamentals of Biomedical Imaging: Ultrasounds, X-ray, positron emission tomography (PET) and applications",10205,Self-paced on your time,Advanced,Engineering,English,English,169.0,Other,30-40h
Fundamentos de Electromagnetismo para Ingeniería,15040,Self-paced on your time,Introductory,Physics,Español,Español,49.0,University,30-40h
Sustainable Food Systems: A Mediterranean Perspective,6480,Self-paced on your time,Intermediate,Food & Nutrition,English,"English, Français, Italiano",49.0,Other,30-40h
Scripting and Programming Foundations,0,Self-paced on your time,Introductory,Computer Science,English,English,299.7,University,70-80h
Using GPUs to Scale and Speed-up Deep Learning,9294,Self-paced on your time,Intermediate,Data Analysis & Statistics,English,English,99.0,Other,10-20h
StudioX: Creating a Course with edX Studio,20355,Self-paced on your time,Introductory,Education & Teacher Training,English,English,99.0,Other,10-20h
The Power of Data,0,Self-paced on your time,Introductory,Data Analysis & Statistics,English,English,49.0,Other,0-10h
Introducción a las ondas gravitacionales,8657,Self-paced on your time,Introductory,Science,Español,"English, Español",50.0,University,20-30h
Drones and Autonomous Systems 2: Applications in Emergency Management,0,Self-paced on your time,Intermediate,Science,English,English,149.0,University,10-20h
MathTrackX: Differential Calculus,0,Self-paced on your time,Introductory,Math,English,English,79.0,University,10-20h
Global China: From the Mongols to the Ming,41902,Self-paced on your time,Introductory,History,English,"English, 中文",139.0,University,30-40h
Leaders in Citizen Security and Justice Management for the Caribbean,0,Self-paced on your time,Intermediate,Social Sciences,English,English,25.0,Other,40-50h
Pattern Studying and Making | 图案审美与创作,0,Self-paced on your time,Introductory,Art & Culture,中文,"English, 中文",139.0,University,40-50h
Computational Neuroscience: Neuronal Dynamics of Cognition,11246,Self-paced on your time,Advanced,Biology & Life Sciences,English,English,139.0,Other,30-40h
Cities and the Challenge of Sustainable Development,8775,Self-paced on your time,Introductory,Environmental Studies,English,English,25.0,Other,0-10h
MathTrackX: Special Functions,0,Self-paced on your time,Introductory,Math,English,English,79.0,University,10-20h
