title,rating,reviews_count,type_ins
Natural Language Processing with Probabilistic Models,4.555555555555555,99,Other
Vital Signs: Understanding What the Body Is Telling Us,4.826943005181347,965,University
Understanding Research Methods,4.579588728103579,1313,University
IBM Customer Engagement Specialist Professional Certificate,4.811111111111111,180,Other
Introduction to Calculus,4.878402903811252,551,University
Camino a la Excelencia en Gestión de Proyectos,4.564367816091954,1740,University
Introduction to HTML5,3.9888089528377297,1251,University
Wine Tasting: Sensory Techniques for Wine Analysis,4.490384615384615,104,University
Excel Skills for Business: Intermediate I,4.8965360072926165,2194,University
"Programming Foundations with JavaScript, HTML and CSS",4.533483146067415,2225,University
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),4.888130968622101,733,University
Food & Beverage Management,4.815384615384615,715,University
Data Analysis with Python,4.43194925028835,1734,Other
Project Planning,4.35,20,University
Agile Meets Design Thinking,4.750390015600624,641,University
AWS Fundamentals: Going Cloud-Native,4.680155210643015,1804,Other
Construction Project Management,4.753846153846154,845,University
Introduction to Mathematical Thinking,4.786036036036036,444,University
Everyday Parenting: The ABCs of Child Rearing,4.929530201342282,596,University
Introduction to Healthcare,4.0,6,University
Machine Learning with Python,4.492443324937028,1588,Other
Terrorism and Counterterrorism: Comparing Theory and Practice,4.752508361204013,598,University
Data Management for Clinical Research,4.73992673992674,273,University
Sustainable Fashion,4.841269841269841,126,Other
Foundations of Data Science: K-Means Clustering in Python,4.6,80,University
Instructional Design Foundations and Applications,3.860215053763441,93,University
Cursos en línea: modelo para armar,4.896551724137931,58,University
Modern Art & Ideas,4.780016792611251,1191,Other
"Speak English Professionally: In Person, Online & On the Phone",4.749771689497717,2190,Institute
Essential Google Cloud Infrastructure: Foundation,4.707152496626181,1482,Other
Introduction to Artificial Intelligence (AI),4.737288135593221,1298,Other
Dog Emotion and Cognition,4.661259541984733,1048,University
International Leadership and Organizational Behavior,4.826086956521739,460,University
Driving business towards the Sustainable Development Goals,4.907216494845361,97,University
"The Sustainable Development Goals – A global, transdisciplinary vision for the future",4.794520547945205,657,University
Digital Transformation,4.7994296577946765,1052,Other
Sequence Models,4.633866481223922,2876,Other
Devenir entrepreneur du changement,4.745762711864407,177,Other
