title,rating,reviews_count,type_ins
"Big Data Essentials: HDFS, MapReduce and Spark RDD",3.484126984126984,126,Other
Dermatology: Trip to skin,4.077922077922078,77,University
Sustainable Tourism – promoting environmental public health,4.5041322314049586,242,University
Population Health During A Pandemic: Contact Tracing and Beyond,4.796610169491525,118,University
Social Impact Strategy: Tools for Entrepreneurs and Innovators,4.855263157894737,228,University
C for Everyone: Programming Fundamentals,4.546318289786223,842,University
Introduction to Structured Query Language (SQL),4.739130434782608,713,University
Social and Economic Networks:  Models and Analysis,1.0,6,University
The Truth About Cats and Dogs,4.769953051643192,426,University
Sports and Society,4.87962962962963,216,University
Fundamentals of Scalable Data Science,4.0,355,Other
Effective Compliance Programs,4.90566037735849,53,University
Transformation of the Global Food System,4.830985915492958,71,University
Web Application Technologies and Django,4.628787878787879,132,University
Curanderismo: Traditional Healing Using Plants,1.0,6,University
Applied Machine Learning in Python,4.488471391972673,1171,University
Troubleshooting and Debugging Techniques,4.189944134078212,179,Other
Introduction to C# Programming and Unity,4.672544080604534,397,University
"Corrección, estilo y  variaciones de la lengua española",4.736413043478261,368,University
Les Fondamentaux de la Négociation,4.863013698630137,73,Other
The Science of Success: What Researchers Know that You Should Know,4.848101265822785,553,University
Finance for Non-Financial Managers,4.130434782608695,69,University
Getting Started With Music Theory,4.263736263736264,182,University
The Horse Course: Introduction to Basic Care and Management,4.907407407407407,270,University
Verb Tenses and Passives,4.736363636363636,330,University
Gestión de organizaciones efectivas,4.7560975609756095,615,University
Introduction to Big Data,4.567393458870169,2018,University
Rédaction de contrats,4.843971631205674,141,University
Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences,4.552511415525114,219,University
Schizophrenia,4.7040358744394615,223,University
Ecology: Ecosystem Dynamics and Conservation,4.852362204724409,508,Institute
Introduction to Game Development,4.751980982567353,1262,University
Practical Time Series Analysis,4.461290322580645,310,University
VLSI CAD Part I: Logic,4.723684210526316,76,University
Getting Started with Google Kubernetes Engine,4.245696400625978,639,Other
Exploring ​and ​Preparing ​your ​Data with BigQuery,4.4573170731707314,328,Other
Six Sigma and the Organization (Advanced),4.711822660098522,406,University
Social Work Practice: Advocating Social Justice and Change,4.8,5,University
Introduction to Machine Learning,4.655813953488372,215,University
Entrepreneurship 2: Launching your Start-Up,4.778761061946903,226,University
Nanotechnology: A Maker’s Course,4.84,450,University
Creative Problem Solving,4.456140350877193,513,University
"Sleep: Neurobiology, Medicine, and Society",4.694444444444445,72,University
COVID-19: What You Need to Know (CME Eligible),4.838901262063845,1347,Other
Classical Sociological Theory,4.867961165048544,515,University
Electric Industry Operations and Markets,4.682926829268292,164,University
Preparing for the Google Cloud Professional Cloud Architect Exam,4.443037974683544,158,Other
Effective Business Presentations with Powerpoint,4.575949367088608,158,Other
More Introduction to Financial Accounting,4.810526315789474,95,University
Cryptocurrency and Blockchain: An Introduction to Digital Currencies,4.484615384615385,130,University
Think Again I: How to Understand Arguments,4.5969125214408235,583,University
Developing Your Musicianship,4.84789644012945,309,University
Introduction to Operations Management,4.297008547008547,468,University
The Oral Cavity: Portal to Health and Disease,4.923913043478261,92,University
Preparing for the Google Cloud Associate Cloud Engineer Exam,4.53784860557769,251,Other
Fundamental Neuroscience for Neuroimaging,4.639498432601881,319,University
European Business Law: Understanding the Fundamentals,4.709219858156028,141,University
Teach English Now! Teaching Language Online,4.544303797468355,79,University
Front-End Web Development with React,4.602787456445993,574,University
Music Business Foundations,4.856209150326797,459,University
Introduction to Business Analytics: Communicating with Data,4.563106796116505,103,University
Machine Learning Foundations: A Case Study Approach,4.487741456166419,2692,University
Accounting Analytics,4.395299145299146,468,University
Strategic Business Management - Microeconomics,4.75,28,University
"Epidemics, Pandemics and Outbreaks",4.737179487179487,468,University
Roman Architecture,4.850393700787402,127,University
Research Data Management and Sharing,4.6875,128,University
Introduction to Genomic Technologies,4.477894736842106,475,University
Strategic Management,4.785333333333333,750,Other
Cybersecurity Compliance Framework & System Administration,4.511363636363637,176,Other
Legal Tech & Startups,4.386363636363637,44,Other
Introduction to Chemistry:  Reactions and Ratios,4.825842696629214,178,University
The Science of Stem Cells,4.734177215189874,316,Other
The Business of Product Management I,4.6,5,Other
Positive Psychology: Resilience Skills,4.886409736308316,493,University
AI for Medical Prognosis,4.747126436781609,87,Other
Antibiotic Stewardship,4.1891891891891895,37,University
UX / UI: Fundamentos para o design de interface,4.341269841269841,126,University
EMT Foundations,4.844262295081967,122,University
Industrial IoT on Google Cloud Platform,4.5316239316239315,585,Other
"Penetration Testing, Incident Response and Forensics",4.435294117647059,85,Other
Database Management Essentials,4.479629629629629,540,University
Advertising and Society,4.805369127516778,149,University
Everyday Chinese Medicine,4.709302325581396,172,University
Fundamentals of Machine Learning for Healthcare,4.9,10,University
New Approaches to Countering Terror: Countering Violent Extremism,4.84,25,University
Magic in the Middle Ages,4.54353562005277,379,University
Challenging Forensic Science: How Science Should Speak to Court,4.850746268656716,67,University
Exploring Renewable Energy Schemes,4.790322580645161,62,University
Paleontology: Theropod Dinosaurs and the Origin of Birds,4.907407407407407,324,University
Corporate Strategy,4.875,144,Other
Getting Started with Essay Writing,4.673352435530086,698,University
Actualización en el manejo del paciente con diabetes mellitus tipo 2,4.845849802371541,253,University
Mastering Final Cut Pro,4.45945945945946,37,Other
Removing Barriers to Change,5.0,8,University
Tricky American English Pronunciation,4.740924092409241,606,University
Managing an Agile Team,4.65625,192,University
International Law in Action: A Guide to the International Courts and Tribunals in The Hague,4.751412429378531,177,University
"Competencias Laborales: Perfiles, Evaluación y Capacitación.",4.310344827586207,87,University
Getting started with TensorFlow 2,4.882352941176471,51,University
Geopolitics of Europe,3.7349397590361444,83,Other
Osteoarchaeology: The Truth in Our Bones,4.580645161290323,124,University
Mathematics for Machine Learning: PCA,3.4482758620689653,522,University
Object Oriented Programming in Java,4.66890756302521,1190,University
Embedded Software and Hardware Architecture,4.368421052631579,57,University
Memoir and Personal Essay: Managing Your Relationship with the Reader,4.258620689655173,58,University
Математика и Python для анализа данных,4.627403846153846,832,Institute
Hacia una práctica constructivista en el aula,4.905096660808436,569,University
Hypothesis-Driven Development,4.5,106,University
Accounting Data Analytics with Python,3.5,8,University
Introduction to Molecular Spectroscopy,4.607843137254902,408,University
Managing as a Coach,4.73404255319149,282,University
